id,age,gender,region,words,nouns,verbs,ageat1w
1,20,male,urban,34,18,0,18
2,20,male,rural,19,2,0,18
3,20,female,urban,40,11,2,18
4,20,female,urban,540,292,81,12
5,20,male,urban,34,14,4,18
6,20,male,urban,36,16,1,18
7,20,male,rural,58,26,3,17
8,20,female,rural,23,3,0,18
9,18,female,urban,35,11,3,16
10,18,male,urban,133,91,4,14
11,18,male,rural,25,1,0,16
12,18,female,urban,89,53,2,14
13,18,male,rural,128,25,23,14
14,18,female,urban,31,7,2,16
15,18,female,rural,121,65,6,14
16,18,male,rural,21,9,1,16
17,18,male,rural,79,45,1,15
18,18,female,rural,12,1,0,17
19,16,female,rural,31,18,3,14
20,16,male,urban,33,13,0,14
21,16,male,rural,32,9,3,14
22,16,male,urban,142,90,11,12
23,16,female,rural,7,0,0,15
24,16,female,rural,11,1,0,15
25,16,female,rural,88,51,9,13
26,16,female,rural,84,41,9,13
27,16,female,rural,13,3,0,15
28,16,female,rural,21,4,1,14
29,20,male,rural,64,37,1,17
30,18,female,rural,10,0,0,17
31,18,female,urban,59,36,3,16
32,18,male,urban,158,112,10,14
33,20,female,rural,46,15,3,18
34,20,female,urban,57,14,4,17
35,20,male,rural,179,115,14,16
36,20,female,urban,16,1,1,18
37,20,female,rural,133,89,9,17
38,20,female,rural,280,182,44,14
39,20,female,rural,205,128,19,16
40,20,female,rural,71,37,8,17
41,20,female,urban,232,131,26,15
42,20,female,urban,146,94,13,16
43,20,female,urban,61,21,6,17
44,20,female,rural,140,87,9,16
45,20,female,urban,166,89,26,15
46,18,female,rural,68,31,2,15
47,18,female,rural,111,75,2,15
48,18,female,rural,16,3,0,16
49,18,female,rural,52,27,3,15
50,18,male,urban,16,7,0,16
51,18,female,rural,56,19,3,15
52,18,male,urban,14,2,0,16
53,16,female,urban,24,4,0,14
54,16,male,urban,27,7,0,14
55,16,female,rural,19,4,0,14
56,16,female,rural,134,87,2,12
57,16,male,rural,21,2,0,14
58,16,male,urban,15,2,0,15
59,16,female,urban,34,16,2,14
60,20,male,rural,37,14,1,18
61,18,male,urban,159,94,18,14
62,18,male,rural,36,12,3,16
63,20,female,rural,50,25,3,17
64,20,female,rural,37,10,1,18
65,20,female,urban,101,50,11,17
66,18,male,urban,112,74,5,15
67,18,male,urban,12,4,1,16
68,18,female,rural,78,50,1,15
69,18,female,urban,75,40,3,15
70,16,female,rural,89,49,8,13
71,16,female,rural,10,1,0,15
72,16,female,rural,18,3,0,14
73,16,female,urban,0,0,0,
74,20,female,urban,154,86,16,16
75,20,male,urban,18,4,2,18
